source,target
Stromal cell_Gm23935 high(Uterus),"stromal cell of endometrium:epithelial cell of cervix:decidual cell:myometrial cell:|||:stromal cell:Kolmer-Agduhr neuron:B cell:parafollicular cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of ovary:epithelial cell of uterus:stromal cell of ovarian cortex:|||:type D enteroendocrine cell:M cell of gut:T cell:type G enteroendocrine cell"
Stromal cell_Has1 high(Uterus),"stromal cell of endometrium:epithelial cell of cervix:decidual cell:myometrial cell:|||:stromal cell:Kolmer-Agduhr neuron:parafollicular cell:Feyrter cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of ovary:epithelial cell of uterus:stromal cell of ovarian cortex:|||:M cell of gut:B cell:nodal myocyte:type G enteroendocrine cell"
Stromal cell_Hsd11b2 high(Uterus),"stromal cell of endometrium:epithelial cell of cervix:decidual cell:myometrial cell:|||:stromal cell:Kolmer-Agduhr neuron:type N enteroendocrine cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of ovary:epithelial cell of uterus:stromal cell of ovarian cortex:|||:type G enteroendocrine cell:B cell:T cell:parafollicular cell"
Stromal cell_Inmt high(Lung),"epithelial cell of lung:mesodermal cell:mesothelial cell of visceral pleura:basal cell of epithelium of lobular bronchiole:|||:stromal cell:Kolmer-Agduhr neuron:nodal myocyte:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of endometrium:stromal cell of pancreas:stromal cell of ovarian medulla:stromal cell of ovary:|||:type D enteroendocrine cell:T cell:type N enteroendocrine cell:parafollicular cell"
Stromal cell_Mfap4 high(Pancreas),"pancreatic acinar cell:epithelial cell of exocrine pancreas:type B pancreatic cell:pancreatic D cell:|||:stromal cell:Kolmer-Agduhr neuron:M cell of gut:nodal myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of ovarian cortex:epithelial cell of pancreas:stromal cell of ovary:|||:B cell:Feyrter cell:type D enteroendocrine cell:type G enteroendocrine cell"
Stromal cell_Mgp high(Fetal_Kidney),"parietal epithelial cell:glomerular visceral epithelial cell:epithelial cell of glomerular capsule:macula densa epithelial cell:|||:stromal cell:Kolmer-Agduhr neuron:type G enteroendocrine cell:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of ovary:stromal cell of ovarian cortex:stromal cell of ovarian medulla:|||:M cell of gut:Feyrter cell:nodal myocyte:B cell"
Stromal cell_Mgp high(Kidney),"extraglomerular mesangial cell:glomerular visceral epithelial cell:parietal epithelial cell:glomerular mesangial cell:|||:stromal cell:Kolmer-Agduhr neuron:T cell:nodal myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of ovary:stromal cell of endometrium:stromal cell of ovarian cortex:|||:type G enteroendocrine cell:M cell of gut:type N enteroendocrine cell:B cell"
Stromal cell_Ndn high(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:stromal cell:stromal cell of ovary:skeletal muscle myoblast:type G enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of ovarian medulla:stromal cell of pancreas:stromal cell of ovarian cortex:stromal cell of endometrium:|||:Kolmer-Agduhr neuron:M cell of gut:nodal myocyte:type D enteroendocrine cell"
Stromal cell_Pi16 high(Mammary-Gland-Virgin),"myoepithelial cell of lactiferous alveolus:myoepithelial cell of acinus of lactiferous gland:mammary alveolar cell:ectodermal cell:|||:stromal cell:Kolmer-Agduhr neuron:T cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myoepithelial cell of mammary gland:luminal epithelial cell of mammary gland:stem cell of gastric gland:stromal cell of ovarian cortex:|||:parafollicular cell:type G enteroendocrine cell:nodal myocyte:Feyrter cell"
Stromal cell_Ptgds high(Kidney),"kidney outer medulla collecting duct epithelial cell:epithelial cell of glomerular capsule:extraglomerular mesangial cell:macula densa epithelial cell:|||:stromal cell:Kolmer-Agduhr neuron:Feyrter cell:type G enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of ovary:stromal cell of endometrium:stromal cell of ovarian cortex:|||:nodal myocyte:M cell of gut:parafollicular cell:B cell"
Stromal cell_Smoc2 high(Pancreas),"pancreatic acinar cell:epithelial cell of exocrine pancreas:type B pancreatic cell:pancreatic D cell:|||:stromal cell:Kolmer-Agduhr neuron:Feyrter cell:type N enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of ovarian cortex:epithelial cell of pancreas:stromal cell of ovary:|||:nodal myocyte:B cell:T cell:parafollicular cell"
Stromal cell_Spp1 high(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:stromal cell:stromal cell of ovary:parafollicular cell:skeletal muscle myoblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of ovarian medulla:stromal cell of pancreas:stromal cell of endometrium:stromal cell of ovarian cortex:|||:Kolmer-Agduhr neuron:T cell:type G enteroendocrine cell:B cell"
Stromal cell_Tnmd high(Neonatal-Rib),"adaxial cell:|||:stromal cell:Kolmer-Agduhr neuron:type D enteroendocrine cell:B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of endometrium:stromal cell of ovary:stromal cell of pancreas:stromal cell of ovarian cortex:|||:type G enteroendocrine cell:T cell:Feyrter cell:type N enteroendocrine cell"
T Cell_Cd8b1 high(Lung),"epithelial cell of lung:brush cell of lobular bronchiole:mesothelial cell of visceral pleura:basal cell of epithelium of lobular bronchiole:|||:T cell:gamma-delta T cell:type D enteroendocrine cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:parafollicular cell:type B pancreatic cell:vegetative cell (sensu Fungi):dendritic cell, human:|||:type G enteroendocrine cell:type N enteroendocrine cell:nodal myocyte:Feyrter cell"
T cell(Kidney),"extraglomerular mesangial cell:interlobular vein cell:kidney pelvis cell:arcuate artery cell:|||:T cell:type D enteroendocrine cell:type N enteroendocrine cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:T-helper 1 cell:hepatic stellate cell:type B pancreatic cell:DN2 thymocyte:|||:B cell:parafollicular cell:type G enteroendocrine cell:nodal myocyte"
T cell(Muscle),"cell of skeletal muscle:adaxial cell:|||:T cell:type G enteroendocrine cell:nodal myocyte:parafollicular cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type B pancreatic cell:Tc1 cell:Tr1 cell:tip cell:|||:B cell:type D enteroendocrine cell:Feyrter cell:type N enteroendocrine cell"
T cell(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:T cell:type D enteroendocrine cell:nodal myocyte:Feyrter cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:adult skeletal muscle myoblast:socket cell (sensu Nematoda):sheath cell (sensu Nematoda):skeletal muscle myoblast:|||:B cell:type N enteroendocrine cell:parafollicular cell:M cell of gut"
T cell(Pancreas),"pancreatic acinar cell:type B pancreatic cell:pancreatic D cell:pancreatic PP cell:|||:T cell:mast cell:M cell of gut:type G enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:epithelial cell of pancreas:adipocyte of breast:epithelial cell of exocrine pancreas:|||:parafollicular cell:type N enteroendocrine cell:nodal myocyte:Feyrter cell"
T cell(Prostate),"epithelial cell of prostatic duct:epithelial cell of prostatic acinus:basal epithelial cell of prostatic duct:luminal epithelial cell of prostatic duct:|||:T cell:gamma-delta T cell:nodal myocyte:type N enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of prostate:endocrine-paracrine cell of prostate gland:smooth muscle cell of prostate:mast cell progenitor:|||:parafollicular cell:type G enteroendocrine cell:B cell:M cell of gut"
T cell(Spleen),"marginal zone B cell:mesodermal cell:splenic metallophillic macrophage:mesenchymal stem cell of abdominal adipose:|||:T cell:type G enteroendocrine cell:parafollicular cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type B pancreatic cell:fat cell:T-helper 1 cell:Tr1 cell:|||:type D enteroendocrine cell:type N enteroendocrine cell:B cell:Feyrter cell"
T cell_Ccl5 high(Small-Intestine),"microfold cell of epithelium of small intestine:enterocyte of epithelium of small intestine:pancreatic goblet cell:microfold cell of epithelium proper of ileum:|||:T cell:type D cell of small intestine:B cell:nodal myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:small intestine goblet cell:epithelial cell of small intestine:paneth cell of epithelium of small intestine:smooth muscle cell of small intestine:|||:type D enteroendocrine cell:M cell of gut:parafollicular cell:Feyrter cell"
T cell_Cd7 high(Small-Intestine),"microfold cell of epithelium of small intestine:enterocyte of epithelium of small intestine:pancreatic goblet cell:microfold cell of epithelium proper of ileum:|||:T cell:type D cell of small intestine:parafollicular cell:B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:small intestine goblet cell:epithelial cell of small intestine:smooth muscle cell of small intestine:paneth cell of epithelium of small intestine:|||:type N enteroendocrine cell:nodal myocyte:type G enteroendocrine cell:Feyrter cell"
T cell_Cd8b1 high(Mammary-Gland-Virgin),"myoepithelial cell of lactiferous alveolus:mammary alveolar cell:myoepithelial cell of acinus of lactiferous gland:ectodermal cell:|||:T cell:gamma-delta T cell:B cell:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myoepithelial cell of mammary gland:luminal epithelial cell of mammary gland:stem cell of gastric gland:fibroblast of mammary gland:|||:nodal myocyte:type G enteroendocrine cell:parafollicular cell:type N enteroendocrine cell"
T cell_Gm14303 high(Peripheral_Blood),"mesodermal cell:vascular associated smooth muscle cell:|||:pigmented ciliary epithelial cell:T cell:gamma-delta T cell:B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:peripheral blood stem cell:peripheral blood mononuclear cell:epidermal cell (sensu arthropoda):socket cell (sensu Nematoda):|||:type G enteroendocrine cell:M cell of gut:type N enteroendocrine cell:parafollicular cell"
T cell_Gzma high(Liver),"epithelial cell of alimentary canal:endothelial cell of hepatic sinusoid:intrahepatic cholangiocyte:mesodermal cell:|||:T cell:nodal myocyte:naive T cell:B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type B pancreatic cell:littoral cell of liver:pancreatic D cell:cerebellar Golgi cell:|||:type N enteroendocrine cell:M cell of gut:type D enteroendocrine cell:type G enteroendocrine cell"
T cell_Icos high(Small-Intestine),"microfold cell of epithelium of small intestine:enterocyte of epithelium of small intestine:pancreatic goblet cell:microfold cell of epithelium proper of ileum:|||:T cell:type D cell of small intestine:type D enteroendocrine cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:small intestine goblet cell:epithelial cell of small intestine:smooth muscle cell of small intestine:paneth cell of epithelium of small intestine:|||:B cell:type N enteroendocrine cell:Feyrter cell:nodal myocyte"
T cell_Id2 high(Thymus),"Leydig cell:fetal derived definitive erythrocyte:primordial germ cell:primitive red blood cell:|||:T cell:nodal myocyte:Feyrter cell:parafollicular cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of thymus:type-4 epithelial cell of thymus:type B pancreatic cell:type-7 epithelial cell of thymus:|||:M cell of gut:type D enteroendocrine cell:type G enteroendocrine cell:type N enteroendocrine cell"
T cell_Ly6c2 high(Mammary-Gland-Virgin),"myoepithelial cell of lactiferous alveolus:mammary alveolar cell:myoepithelial cell of acinus of lactiferous gland:ectodermal cell:|||:T cell:gamma-delta T cell:B cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myoepithelial cell of mammary gland:luminal epithelial cell of mammary gland:stem cell of gastric gland:fibroblast of mammary gland:|||:type N enteroendocrine cell:type D enteroendocrine cell:Feyrter cell:parafollicular cell"
T cell_Ms4a4b high(Bone-Marrow),"leukocyte:mesodermal cell:bone cell:|||:T cell:bone marrow cell:parafollicular cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:common myeloid progenitor, CD34-positive:common myeloid progenitor:mesenchymal stem cell of femoral bone marrow:mesenchymal stem cell of the bone marrow:|||:nodal myocyte:type D enteroendocrine cell:type G enteroendocrine cell:Feyrter cell"
T cell_Ms4a4b high(Small-Intestine),"microfold cell of epithelium of small intestine:enterocyte of epithelium of small intestine:pancreatic goblet cell:microfold cell of epithelium proper of ileum:|||:T cell:type D cell of small intestine:type G enteroendocrine cell:B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:small intestine goblet cell:epithelial cell of small intestine:smooth muscle cell of small intestine:paneth cell of epithelium of small intestine:|||:M cell of gut:nodal myocyte:type N enteroendocrine cell:parafollicular cell"
